short_name,age,height_cm,weight_kg,nationality,club_name,league_name,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
H. Kane,26,188,89,England,Tottenham Hotspur,English Premier League,88,89,71000000,220000,ST,Right,3,4,3,High/High,PLAYER_BODY_TYPE_368,Yes,140200000.0,"DistanceShooter,ClinicalFinisher",ST,10.0,,2010-07-01,2024.0,ST,9.0,68.0,91.0,80.0,80.0,47.0,83.0,,,,,,,"Leadership, Long Passer (AI), Long Shot Taker (AI), Outside Foot Shot, Team Player",75,94,85,81,85,80,80,68,83,84,66,69,69,90,73,91,79,84,84,86,81,35,93,83,90,91,,36,38,8,10,11,14,11,86+3,86+3,86+3,82+0,85+0,85+0,85+0,82+0,83+3,83+3,83+3,82+3,79+3,79+3,79+3,82+3,65+3,66+3,66+3,66+3,65+3,62+3,61+3,61+3,61+3,62+3
P. Dybala,26,177,75,Argentina,Juventus,Italian Serie A,88,89,71000000,190000,"CF, CAM",Left,3,3,4,Medium/Medium,PLAYER_BODY_TYPE_342,Yes,122500000.0,"Dribbler,Playmaker,FKSpecialist,Acrobat,CompleteMidfielder",RS,10.0,,2015-07-01,2022.0,LW,21.0,85.0,85.0,84.0,92.0,43.0,63.0,,,,,,,"Finesse Shot, Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",82,84,64,87,88,91,88,88,75,94,89,82,92,84,90,82,75,78,60,87,48,42,85,87,86,84,,48,40,5,4,4,5,8,83+3,83+3,83+3,87+0,87+0,87+0,87+0,87+0,88+1,88+1,88+1,86+3,82+3,82+3,82+3,86+3,68+3,64+3,64+3,64+3,68+3,64+3,54+3,54+3,54+3,64+3
E. Hazard,29,175,74,Belgium,Real Madrid,Spain Primera Division,88,88,58000000,350000,"LW, ST",Right,4,4,4,High/Medium,PLAYER_BODY_TYPE_356,Yes,118900000.0,"Dribbler,Acrobat",LW,7.0,,2019-07-01,2024.0,LF,10.0,88.0,82.0,83.0,92.0,35.0,66.0,,,,,,,"Injury Prone, Finesse Shot, Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",77,82,61,85,83,93,83,79,81,91,91,86,92,86,93,82,56,82,63,78,54,41,85,86,87,90,,27,22,11,12,6,8,8,82+3,82+3,82+3,87+0,86+0,86+0,86+0,87+0,87+1,87+1,87+1,86+2,80+3,80+3,80+3,86+2,65+3,62+3,62+3,62+3,65+3,59+3,49+3,49+3,49+3,59+3
J. Sancho,20,180,76,England,Borussia Dortmund,German 1. Bundesliga,87,93,69500000,82000,"RM, LM, CAM",Right,3,3,5,High/Medium,Normal,Yes,132100000.0,"Dribbler,Acrobat",RS,7.0,,2017-08-31,2023.0,RW,11.0,83.0,74.0,81.0,91.0,37.0,64.0,,,,,,,"Finesse Shot, Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",83,81,38,88,83,92,81,48,68,91,86,81,91,87,90,70,51,77,67,63,44,39,83,87,60,84,,41,32,7,11,10,11,13,77+3,77+3,77+3,86+0,84+0,84+0,84+0,86+0,86+3,86+3,86+3,85+3,79+3,79+3,79+3,85+3,66+3,62+3,62+3,62+3,66+3,61+3,49+3,49+3,49+3,61+3
Bernardo Silva,25,173,64,Portugal,Manchester City,English Premier League,87,88,60000000,230000,"RW, CAM, CM",Left,2,3,4,High/High,Lean,Yes,115500000.0,"Dribbler,Engine,Acrobat",LCM,20.0,,2017-07-01,2025.0,CAM,10.0,81.0,77.0,83.0,92.0,51.0,67.0,,,,,,,"Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",85,79,51,86,70,92,84,67,76,92,85,78,94,85,92,76,51,93,54,76,69,49,85,85,68,87,,59,40,9,10,14,12,9,78+2,78+2,78+2,86+0,85+0,85+0,85+0,86+0,86+2,86+2,86+2,86+2,82+2,82+2,82+2,86+2,72+2,70+2,70+2,70+2,72+2,68+2,58+2,58+2,58+2,68+2
L. Suárez,33,182,86,Uruguay,FC Barcelona,Spain Primera Division,87,87,31500000,280000,ST,Right,5,4,3,High/Medium,PLAYER_BODY_TYPE_374,Yes,64600000.0,"DistanceShooter,ClinicalFinisher",SUB,9.0,,2014-07-11,2021.0,,,70.0,90.0,82.0,83.0,51.0,83.0,,,,,,,"Solid Player, Outside Foot Shot",80,92,84,83,90,84,86,82,77,84,72,68,76,92,78,89,69,78,85,88,87,41,91,84,83,85,,45,38,27,25,31,33,37,86+1,86+1,86+1,84+0,85+0,85+0,85+0,84+0,84+3,84+3,84+3,83+3,80+3,80+3,80+3,83+3,67+3,68+3,68+3,68+3,67+3,64+3,63+3,63+3,63+3,64+3
A. Di María,32,180,69,Argentina,Paris Saint-Germain,French Ligue 1,87,87,39000000,160000,"RW, LW",Left,4,2,5,High/Medium,PLAYER_BODY_TYPE_345,Yes,72200000.0,"Dribbler,Crosser,FKSpecialist,Acrobat",RW,11.0,,2015-08-06,2021.0,,,83.0,81.0,85.0,88.0,48.0,68.0,,,,,,,"Flair, Long Shot Taker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",88,79,51,83,78,88,89,88,80,87,82,83,94,84,76,83,72,78,60,86,73,42,84,88,73,86,,55,52,10,7,11,12,11,79+3,79+3,79+3,85+0,84+0,84+0,84+0,85+0,85+2,85+2,85+2,85+2,81+3,81+3,81+3,85+2,70+3,67+3,67+3,67+3,70+3,66+3,58+3,58+3,58+3,66+3
P. Aubameyang,31,187,80,Gabon,Arsenal,English Premier League,87,87,45000000,170000,"ST, LW",Right,3,4,4,High/High,PLAYER_BODY_TYPE_253,Yes,85500000.0,Speedster,LW,14.0,,2018-01-31,2021.0,,,93.0,86.0,75.0,80.0,38.0,69.0,,,,,,,"Solid Player, Finesse Shot, Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",76,91,75,77,84,80,81,76,64,82,91,94,77,88,68,82,75,80,74,78,43,48,93,77,78,88,,29,36,6,9,15,9,9,85+2,85+2,85+2,84+0,85+0,85+0,85+0,84+0,82+3,82+3,82+3,82+3,75+3,75+3,75+3,82+3,65+3,59+3,59+3,59+3,65+3,62+3,52+3,52+3,52+3,62+3
C. Immobile,30,185,85,Italy,Lazio,Italian Serie A,87,87,48500000,125000,ST,Right,3,4,3,High/Medium,PLAYER_BODY_TYPE_305,Yes,82500000.0,ClinicalFinisher,RS,17.0,,2016-07-27,2025.0,ST,17.0,84.0,88.0,67.0,83.0,39.0,77.0,,,,,,,"Outside Foot Shot, Chip Shot (AI)",55,93,81,80,85,83,70,51,53,84,82,85,75,90,77,86,77,78,77,80,77,40,93,71,88,86,,33,32,6,8,15,12,6,86+1,86+1,86+1,82+0,85+0,85+0,85+0,82+0,82+3,82+3,82+3,79+3,73+3,73+3,73+3,79+3,61+3,60+3,60+3,60+3,61+3,59+3,56+3,56+3,56+3,59+3
A. Griezmann,29,176,73,France,FC Barcelona,Spain Primera Division,87,87,50500000,290000,"ST, CF, LW",Left,4,3,4,Medium/Medium,PLAYER_BODY_TYPE_266,Yes,103500000.0,"Poacher,Dribbler,Acrobat,ClinicalFinisher,CompleteForward",ST,7.0,,2019-07-12,2024.0,CF,7.0,79.0,85.0,84.0,88.0,57.0,72.0,,,,,,,"Finesse Shot, Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",83,88,83,84,87,87,86,85,82,89,80,79,91,92,83,81,90,86,63,82,73,49,89,85,86,89,,54,49,14,8,14,13,14,85+2,85+2,85+2,86+0,86+0,86+0,86+0,86+0,86+1,86+1,86+1,86+1,83+3,83+3,83+3,86+1,73+3,71+3,71+3,71+3,73+3,70+3,65+3,65+3,65+3,70+3
H. Son,27,183,78,Korea Republic,Tottenham Hotspur,English Premier League,87,87,52500000,165000,"LM, CF",Right,3,5,4,High/High,PLAYER_BODY_TYPE_366,Yes,99800000.0,"Dribbler,Engine,DistanceShooter,Acrobat,ClinicalFinisher,CompleteForward",LM,7.0,,2015-08-28,2023.0,,,88.0,86.0,80.0,87.0,43.0,69.0,,,,,,,"Solid Player, Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI)",81,86,68,83,81,88,85,70,70,87,86,90,86,89,78,88,56,87,64,90,62,39,88,83,73,88,,34,33,11,13,13,6,10,84+3,84+3,84+3,86+0,87+0,87+0,87+0,86+0,86+1,86+1,86+1,85+2,79+3,79+3,79+3,85+2,68+3,63+3,63+3,63+3,68+3,64+3,54+3,54+3,54+3,64+3
Roberto Firmino,28,181,76,Brazil,Liverpool,English Premier League,87,87,52000000,190000,CF,Right,3,4,5,High/High,PLAYER_BODY_TYPE_315,Yes,96200000.0,"Dribbler,Engine",CF,9.0,,2015-07-06,2023.0,,,77.0,80.0,81.0,90.0,61.0,78.0,,,,,,,"Flair, Playmaker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",73,80,75,87,85,90,81,65,76,91,78,77,85,90,86,82,81,88,74,77,75,58,86,86,72,88,,64,42,8,11,9,6,10,83+3,83+3,83+3,84+0,85+0,85+0,85+0,84+0,86+1,86+1,86+1,84+3,83+3,83+3,83+3,84+3,73+3,74+3,74+3,74+3,73+3,70+3,68+3,68+3,68+3,70+3
A. Gómez,32,167,68,Argentina,Atalanta,Italian Serie A,86,86,34500000,100000,"CAM, CF, ST",Right,3,4,4,High/Medium,Normal,No,58700000.0,"Speedster,Dribbler,Playmaker,Acrobat,CompleteMidfielder",LF,10.0,,2014-09-02,2022.0,,,90.0,79.0,84.0,88.0,39.0,55.0,,,,,,,"Long Shot Taker (AI), Outside Foot Shot, Technical Dribbler (AI)",83,80,38,86,72,87,82,79,77,86,94,86,93,86,94,76,70,73,44,82,56,40,82,87,72,85,,30,34,8,11,12,9,6,76+3,76+3,76+3,86+0,84+0,84+0,84+0,86+0,85+1,85+1,85+1,85+1,79+3,79+3,79+3,85+1,66+3,62+3,62+3,62+3,66+3,61+3,49+3,49+3,49+3,61+3
T. Müller,30,186,75,Germany,FC Bayern München,German 1. Bundesliga,86,86,42000000,130000,"CAM, RM, RW",Right,4,4,3,High/High,Lean,Yes,69300000.0,Engine,CAM,25.0,,2008-08-10,2023.0,,,68.0,82.0,82.0,78.0,56.0,71.0,,,,,,,"Solid Player, Leadership, Outside Foot Shot",85,85,81,84,84,75,81,59,78,82,68,68,73,94,71,78,77,86,66,81,62,58,94,85,60,84,,57,46,6,7,11,14,14,82+3,82+3,82+3,82+0,83+0,83+0,83+0,82+0,83+3,83+3,83+3,82+3,81+3,81+3,81+3,82+3,71+3,70+3,70+3,70+3,71+3,69+3,63+3,63+3,63+3,69+3
J. Vardy,33,179,74,England,Leicester City,English Premier League,86,86,28000000,160000,ST,Right,3,3,3,High/High,PLAYER_BODY_TYPE_306,Yes,53200000.0,NoTag,ST,9.0,,2012-05-01,2023.0,,,88.0,85.0,66.0,78.0,55.0,75.0,,,,,,,"Dives Into Tackles (AI), Team Player",68,92,79,69,82,77,67,57,48,81,90,87,72,90,75,87,79,79,68,65,87,49,92,73,84,87,,50,53,15,14,7,15,11,84+2,84+2,84+2,80+0,83+0,83+0,83+0,80+0,78+3,78+3,78+3,79+3,71+3,71+3,71+3,79+3,68+3,64+3,64+3,64+3,68+3,67+3,64+3,64+3,64+3,67+3
K. Havertz,21,188,83,Germany,Chelsea,English Premier League,85,93,57000000,105000,"CAM, RM, CF",Left,3,4,4,Medium/Medium,PLAYER_BODY_TYPE_270,Yes,119700000.0,Poacher,RM,29.0,,2020-09-04,2025.0,SUB,27.0,84.0,81.0,79.0,85.0,45.0,67.0,,,,,,,"Finesse Shot, Playmaker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",73,85,78,84,80,86,84,53,78,87,78,88,78,85,74,74,75,82,69,78,42,38,84,82,73,84,,46,38,6,8,11,10,12,82+3,82+3,82+3,83+0,84+0,84+0,84+0,83+0,84+3,84+3,84+3,83+3,79+3,79+3,79+3,83+3,66+3,64+3,64+3,64+3,66+3,63+3,56+3,56+3,56+3,63+3
M. Rashford,22,186,70,England,Manchester United,English Premier League,85,91,53000000,150000,"LM, ST",Right,2,4,5,High/Medium,PLAYER_BODY_TYPE_327,Yes,111300000.0,"Speedster,Dribbler,Acrobat",LM,10.0,,2014-07-01,2023.0,SUB,10.0,91.0,83.0,78.0,86.0,45.0,78.0,,,,,,,"Power Free-Kick, Flair, Long Shot Taker (AI), Speed Dribbler (AI), Team Player, Technical Dribbler (AI)",77,83,68,81,73,87,82,76,69,85,89,93,86,86,75,90,72,87,76,81,73,42,82,82,81,82,,40,33,11,6,15,7,14,83+2,83+2,83+2,84+0,85+0,85+0,85+0,84+0,83+2,83+2,83+2,84+2,77+2,77+2,77+2,84+2,68+2,65+2,65+2,65+2,68+2,64+2,57+2,57+2,57+2,64+2
L. Sané,24,183,75,Germany,FC Bayern München,German 1. Bundesliga,85,90,51500000,100000,LM,Left,2,3,4,High/Medium,PLAYER_BODY_TYPE_323,Yes,88800000.0,"Speedster,Dribbler",LM,10.0,,2020-07-15,2025.0,LW,19.0,93.0,81.0,79.0,86.0,38.0,67.0,,,,,,,"Power Free-Kick, Flair, Speed Dribbler (AI)",83,81,72,81,85,88,83,82,64,85,91,95,84,79,78,87,64,70,69,78,61,34,84,82,71,80,,32,35,8,12,9,9,14,82+2,82+2,82+2,85+0,84+0,84+0,84+0,85+0,83+2,83+2,83+2,83+2,74+2,74+2,74+2,83+2,64+2,59+2,59+2,59+2,64+2,60+2,52+2,52+2,52+2,60+2
M. Depay,26,176,78,Netherlands,Olympique Lyonnais,French Ligue 1,85,88,48500000,115000,"CF, LW, CAM",Right,3,3,5,High/Low,Stocky,Yes,95800000.0,FKSpecialist,RS,11.0,,2017-01-20,2021.0,ST,10.0,86.0,83.0,81.0,84.0,32.0,80.0,,,,,,,"Leadership, Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",83,83,65,81,74,85,85,86,74,84,85,87,80,82,79,87,76,81,81,83,75,28,84,84,73,78,,31,20,8,14,6,12,10,82+3,82+3,82+3,84+0,84+0,84+0,84+0,84+0,83+3,83+3,83+3,83+3,76+3,76+3,76+3,83+3,62+3,59+3,59+3,59+3,62+3,57+3,50+3,50+3,50+3,57+3
T. Werner,24,180,76,Germany,Chelsea,English Premier League,85,88,49500000,135000,ST,Right,3,4,3,High/Medium,PLAYER_BODY_TYPE_348,Yes,97800000.0,Speedster,ST,11.0,,2020-07-01,2025.0,ST,9.0,91.0,85.0,69.0,84.0,35.0,71.0,,,,,,,Speed Dribbler (AI),69,88,78,78,86,84,70,58,55,85,93,89,83,87,76,85,75,83,67,78,63,37,88,65,78,82,,20,19,9,9,8,15,9,84+3,84+3,84+3,83+0,84+0,84+0,84+0,83+0,80+3,80+3,80+3,81+3,72+3,72+3,72+3,81+3,61+3,56+3,56+3,56+3,61+3,58+3,50+3,50+3,50+3,58+3
S. Gnabry,24,175,75,Germany,FC Bayern München,German 1. Bundesliga,85,87,47500000,100000,"RM, LM, RW",Right,3,4,4,High/Medium,PLAYER_BODY_TYPE_272,Yes,81900000.0,"Dribbler,Acrobat",RM,7.0,,2017-07-01,2023.0,RW,20.0,82.0,83.0,78.0,86.0,43.0,70.0,,,,,,,"Injury Prone, Flair, Long Shot Taker (AI), Speed Dribbler (AI), Technical Dribbler (AI)",79,85,42,79,83,87,74,62,74,83,90,76,86,85,88,86,65,78,69,81,63,38,85,83,68,80,,44,43,14,10,10,9,7,79+3,79+3,79+3,84+0,83+0,83+0,83+0,84+0,83+3,83+3,83+3,83+3,77+3,77+3,77+3,83+3,66+3,63+3,63+3,63+3,66+3,62+3,54+3,54+3,54+3,62+3
R. Lukaku,27,191,94,Belgium,Inter,Italian Serie A,85,86,45000000,165000,ST,Left,3,4,3,Medium/Medium,PLAYER_BODY_TYPE_301,Yes,77600000.0,"Poacher,Strength,CompleteForward",RS,9.0,,2019-08-08,2024.0,ST,9.0,81.0,83.0,76.0,75.0,38.0,84.0,,,,,,,"Speed Dribbler (AI), Power Header",73,86,85,79,77,78,78,66,71,78,77,84,60,86,46,87,71,73,95,74,71,27,86,78,78,83,,41,30,8,15,14,7,10,84+2,84+2,84+2,79+0,81+0,81+0,81+0,79+0,79+3,79+3,79+3,79+3,74+3,74+3,74+3,79+3,60+3,60+3,60+3,60+3,60+3,58+3,56+3,56+3,56+3,58+3
Luis Alberto,27,183,74,Spain,Lazio,Italian Serie A,85,86,44000000,99000,"CAM, CM, CF",Right,2,3,4,Medium/Medium,Lean,Yes,78100000.0,Playmaker,LCM,10.0,,2016-08-31,2022.0,,,74.0,76.0,86.0,85.0,58.0,59.0,,,,,,,"Finesse Shot, Flair, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",76,77,49,90,76,86,86,81,89,88,76,72,81,80,74,77,53,75,64,76,29,55,80,88,56,78,,68,45,6,8,6,12,11,76+2,76+2,76+2,82+0,82+0,82+0,82+0,82+0,84+2,84+2,84+2,82+2,83+2,83+2,83+2,82+2,71+2,71+2,71+2,71+2,71+2,68+2,60+2,60+2,60+2,68+2
M. Icardi,27,181,75,Argentina,Paris Saint-Germain,French Ligue 1,85,86,45000000,135000,ST,Right,3,4,3,Medium/Medium,PLAYER_BODY_TYPE_347,Yes,86600000.0,Poacher,RS,9.0,,2020-06-08,2024.0,,,73.0,85.0,65.0,78.0,36.0,68.0,,,,,,,"Solid Player, Power Header, Outside Foot Shot",47,90,88,76,85,76,76,48,54,82,74,73,73,86,75,85,93,66,72,71,56,22,92,72,82,83,,24,20,13,9,5,7,9,84+2,84+2,84+2,77+0,81+0,81+0,81+0,77+0,78+3,78+3,78+3,75+3,69+3,69+3,69+3,75+3,54+3,54+3,54+3,54+3,54+3,51+3,51+3,51+3,51+3,51+3
