short_name,age,height_cm,weight_kg,nationality,club_name,league_name,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
Bruno Fernandes,25,179,69,Portugal,Manchester United,English Premier League,87,90,63000000,195000,"CAM, CM",Right,2,4,4,High/High,Lean,Yes,124400000.0,"Playmaker,Engine,DistanceShooter,Crosser,FKSpecialist,CompleteMidfielder",CAM,18.0,,2020-01-30,2025.0,RCM,16.0,77.0,83.0,88.0,85.0,68.0,75.0,"Solid Player, Flair, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot",87,77,58,88,86,85,86,87,87,88,78,76,79,86,79,89,72,94,67,89,70,74,83,90,91,86,,67,55,12,14,15,8,14,80+2,80+2,80+2,84+0,84+0,84+0,84+0,84+0,86+2,86+2,86+2,85+2,86+2,86+2,86+2,85+2,79+2,79+2,79+2,79+2,79+2,76+2,70+2,70+2,70+2,76+2
Fabinho,26,188,78,Brazil,Liverpool,English Premier League,87,89,54500000,155000,CDM,Right,3,2,3,Medium/High,PLAYER_BODY_TYPE_311,Yes,104900000.0,"Tackling,Tactician",CDM,3.0,,2018-07-01,2023.0,,,67.0,69.0,79.0,77.0,85.0,83.0,"Dives Into Tackles (AI), Long Passer (AI)",75,63,75,85,47,76,71,53,83,82,66,68,66,84,65,81,75,88,81,70,86,87,70,79,90,84,,87,85,13,12,6,8,8,74+3,74+3,74+3,75+0,76+0,76+0,76+0,75+0,77+3,77+3,77+3,77+3,81+3,81+3,81+3,77+3,82+3,85+3,85+3,85+3,82+3,82+3,84+3,84+3,84+3,82+3
Bernardo Silva,25,173,64,Portugal,Manchester City,English Premier League,87,88,60000000,230000,"RW, CAM, CM",Left,2,3,4,High/High,Lean,Yes,115500000.0,"Dribbler,Engine,Acrobat",LCM,20.0,,2017-07-01,2025.0,CAM,10.0,81.0,77.0,83.0,92.0,51.0,67.0,"Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",85,79,51,86,70,92,84,67,76,92,85,78,94,85,92,76,51,93,54,76,69,49,85,85,68,87,,59,40,9,10,14,12,9,78+2,78+2,78+2,86+0,85+0,85+0,85+0,86+0,86+2,86+2,86+2,86+2,82+2,82+2,82+2,86+2,72+2,70+2,70+2,70+2,72+2,68+2,58+2,58+2,58+2,68+2
L. Modrić,34,172,66,Croatia,Real Madrid,Spain Primera Division,87,87,24500000,260000,CM,Right,4,4,4,High/Medium,Lean,Yes,50200000.0,"Playmaker,Crosser,Acrobat,CompleteMidfielder",RCM,10.0,,2012-08-01,2021.0,,,73.0,76.0,89.0,88.0,71.0,66.0,"Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",86,72,55,91,76,85,85,78,89,90,76,70,91,88,92,79,68,84,58,82,62,79,78,90,82,92,,75,71,13,9,7,14,9,76+3,76+3,76+3,83+0,82+0,82+0,82+0,83+0,85+2,85+2,85+2,84+3,86+1,86+1,86+1,84+3,81+3,81+3,81+3,81+3,81+3,78+3,71+3,71+3,71+3,78+3
Sergio Busquets,31,189,76,Spain,FC Barcelona,Spain Primera Division,87,87,38000000,240000,CDM,Right,4,3,3,Medium/Medium,Lean,Yes,77900000.0,NoTag,SUB,5.0,,2008-09-01,2023.0,SUB,5.0,42.0,62.0,80.0,80.0,83.0,77.0,Team Player,62,67,68,89,44,81,66,68,83,88,40,43,67,84,50,61,66,81,75,54,81,85,77,84,60,93,,83,80,5,8,13,9,13,71+3,71+3,71+3,73+0,75+0,75+0,75+0,73+0,78+3,78+3,78+3,75+3,83+3,83+3,83+3,75+3,77+3,84+3,84+3,84+3,77+3,76+3,80+3,80+3,80+3,76+3
H. Son,27,183,78,Korea Republic,Tottenham Hotspur,English Premier League,87,87,52500000,165000,"LM, CF",Right,3,5,4,High/High,PLAYER_BODY_TYPE_366,Yes,99800000.0,"Dribbler,Engine,DistanceShooter,Acrobat,ClinicalFinisher,CompleteForward",LM,7.0,,2015-08-28,2023.0,,,88.0,86.0,80.0,87.0,43.0,69.0,"Solid Player, Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI)",81,86,68,83,81,88,85,70,70,87,86,90,86,89,78,88,56,87,64,90,62,39,88,83,73,88,,34,33,11,13,13,6,10,84+3,84+3,84+3,86+0,87+0,87+0,87+0,86+0,86+1,86+1,86+1,85+2,79+3,79+3,79+3,85+2,68+3,63+3,63+3,63+3,68+3,64+3,54+3,54+3,54+3,64+3
P. Pogba,27,191,84,France,Manchester United,English Premier League,86,87,50000000,190000,"CM, CDM",Right,4,4,5,High/Medium,PLAYER_BODY_TYPE_330,Yes,98800000.0,"Dribbler,Playmaker,Strength,CompleteMidfielder",RDM,6.0,,2016-08-09,2021.0,,,73.0,81.0,86.0,85.0,66.0,85.0,"Flair, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",80,75,75,86,84,87,85,82,91,90,66,79,73,81,66,90,82,83,89,82,78,64,81,88,83,87,,67,65,5,6,2,4,3,82+3,82+3,82+3,82+0,83+0,83+0,83+0,82+0,84+3,84+3,84+3,83+3,84+3,84+3,84+3,83+3,76+3,78+3,78+3,78+3,76+3,74+3,73+3,73+3,73+3,74+3
M. Verratti,27,165,60,Italy,Paris Saint-Germain,French Ligue 1,86,87,50000000,135000,"CM, CDM",Right,3,4,4,Medium/High,PLAYER_BODY_TYPE_346,Yes,96300000.0,"Dribbler,Playmaker,Acrobat,CompleteMidfielder",LCM,6.0,,2012-07-18,2024.0,LCM,5.0,64.0,60.0,85.0,90.0,79.0,67.0,"Flair, Playmaker (AI), Outside Foot Shot",75,60,55,90,64,90,78,64,89,90,68,61,91,87,94,56,65,76,53,58,89,85,71,88,64,94,,82,83,12,12,15,15,10,69+3,69+3,69+3,79+0,78+0,78+0,78+0,79+0,82+3,82+3,82+3,81+3,85+2,85+2,85+2,81+3,81+3,84+3,84+3,84+3,81+3,79+3,77+3,77+3,77+3,79+3
A. Gómez,32,167,68,Argentina,Atalanta,Italian Serie A,86,86,34500000,100000,"CAM, CF, ST",Right,3,4,4,High/Medium,Normal,No,58700000.0,"Speedster,Dribbler,Playmaker,Acrobat,CompleteMidfielder",LF,10.0,,2014-09-02,2022.0,,,90.0,79.0,84.0,88.0,39.0,55.0,"Long Shot Taker (AI), Outside Foot Shot, Technical Dribbler (AI)",83,80,38,86,72,87,82,79,77,86,94,86,93,86,94,76,70,73,44,82,56,40,82,87,72,85,,30,34,8,11,12,9,6,76+3,76+3,76+3,86+0,84+0,84+0,84+0,86+0,85+1,85+1,85+1,85+1,79+3,79+3,79+3,85+1,66+3,62+3,62+3,62+3,66+3,61+3,49+3,49+3,49+3,61+3
David Silva,34,173,67,Spain,Real Sociedad,Spain Primera Division,86,86,22500000,58000,"CAM, CM",Left,4,2,4,High/Medium,Normal,Yes,47300000.0,"Dribbler,Playmaker,CompleteMidfielder",CAM,21.0,,2020-08-17,2022.0,,,64.0,74.0,88.0,88.0,52.0,55.0,"Finesse Shot, Flair, Playmaker (AI), Outside Foot Shot, Team Player",84,72,53,92,82,86,82,77,84,91,68,61,85,87,87,72,64,70,46,73,56,50,86,91,75,92,,53,29,6,15,7,6,12,75+3,75+3,75+3,83+0,82+0,82+0,82+0,83+0,85+1,85+1,85+1,83+3,83+3,83+3,83+3,83+3,68+3,69+3,69+3,69+3,68+3,63+3,56+3,56+3,56+3,63+3
J. Henderson,30,182,80,England,Liverpool,English Premier League,86,86,36500000,140000,"CDM, CM",Right,2,3,3,High/High,Normal,Yes,67500000.0,Engine,RCM,14.0,,2011-06-09,2023.0,RCM,8.0,65.0,74.0,84.0,79.0,81.0,82.0,"Leadership, Early Crosser, Long Passer (AI), Team Player",82,73,65,86,71,78,80,74,87,84,66,65,69,86,68,77,78,91,78,75,84,85,78,83,64,82,,83,77,7,13,7,9,13,76+2,76+2,76+2,78+0,79+0,79+0,79+0,78+0,80+2,80+2,80+2,80+2,84+2,84+2,84+2,80+2,82+2,85+1,85+1,85+1,82+2,81+2,80+2,80+2,80+2,81+2
T. Müller,30,186,75,Germany,FC Bayern München,German 1. Bundesliga,86,86,42000000,130000,"CAM, RM, RW",Right,4,4,3,High/High,Lean,Yes,69300000.0,Engine,CAM,25.0,,2008-08-10,2023.0,,,68.0,82.0,82.0,78.0,56.0,71.0,"Solid Player, Leadership, Outside Foot Shot",85,85,81,84,84,75,81,59,78,82,68,68,73,94,71,78,77,86,66,81,62,58,94,85,60,84,,57,46,6,7,11,14,14,82+3,82+3,82+3,82+0,83+0,83+0,83+0,82+0,83+3,83+3,83+3,82+3,81+3,81+3,81+3,82+3,71+3,70+3,70+3,70+3,71+3,69+3,63+3,63+3,63+3,69+3
K. Havertz,21,188,83,Germany,Chelsea,English Premier League,85,93,57000000,105000,"CAM, RM, CF",Left,3,4,4,Medium/Medium,PLAYER_BODY_TYPE_270,Yes,119700000.0,Poacher,RM,29.0,,2020-09-04,2025.0,SUB,27.0,84.0,81.0,79.0,85.0,45.0,67.0,"Finesse Shot, Playmaker (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",73,85,78,84,80,86,84,53,78,87,78,88,78,85,74,74,75,82,69,78,42,38,84,82,73,84,,46,38,6,8,11,10,12,82+3,82+3,82+3,83+0,84+0,84+0,84+0,83+0,84+3,84+3,84+3,83+3,79+3,79+3,79+3,83+3,66+3,64+3,64+3,64+3,66+3,63+3,56+3,56+3,56+3,63+3
M. Rashford,22,186,70,England,Manchester United,English Premier League,85,91,53000000,150000,"LM, ST",Right,2,4,5,High/Medium,PLAYER_BODY_TYPE_327,Yes,111300000.0,"Speedster,Dribbler,Acrobat",LM,10.0,,2014-07-01,2023.0,SUB,10.0,91.0,83.0,78.0,86.0,45.0,78.0,"Power Free-Kick, Flair, Long Shot Taker (AI), Speed Dribbler (AI), Team Player, Technical Dribbler (AI)",77,83,68,81,73,87,82,76,69,85,89,93,86,86,75,90,72,87,76,81,73,42,82,82,81,82,,40,33,11,6,15,7,14,83+2,83+2,83+2,84+0,85+0,85+0,85+0,84+0,83+2,83+2,83+2,84+2,77+2,77+2,77+2,84+2,68+2,65+2,65+2,65+2,68+2,64+2,57+2,57+2,57+2,64+2
L. Sané,24,183,75,Germany,FC Bayern München,German 1. Bundesliga,85,90,51500000,100000,LM,Left,2,3,4,High/Medium,PLAYER_BODY_TYPE_323,Yes,88800000.0,"Speedster,Dribbler",LM,10.0,,2020-07-15,2025.0,LW,19.0,93.0,81.0,79.0,86.0,38.0,67.0,"Power Free-Kick, Flair, Speed Dribbler (AI)",83,81,72,81,85,88,83,82,64,85,91,95,84,79,78,87,64,70,69,78,61,34,84,82,71,80,,32,35,8,12,9,9,14,82+2,82+2,82+2,85+0,84+0,84+0,84+0,85+0,83+2,83+2,83+2,83+2,74+2,74+2,74+2,83+2,64+2,59+2,59+2,59+2,64+2,60+2,52+2,52+2,52+2,60+2
F. de Jong,23,180,74,Netherlands,FC Barcelona,Spain Primera Division,85,90,50500000,190000,CM,Right,3,3,4,Medium/High,PLAYER_BODY_TYPE_264,Yes,107300000.0,"Dribbler,Playmaker,CompleteMidfielder",LCM,21.0,,2019-07-01,2024.0,LDM,21.0,80.0,64.0,84.0,87.0,76.0,77.0,"Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",75,63,66,90,69,87,84,64,86,88,80,80,83,88,79,68,76,90,74,61,70,82,73,86,45,90,,76,77,7,13,10,10,9,75+3,75+3,75+3,81+0,80+0,80+0,80+0,81+0,83+3,83+3,83+3,83+3,84+3,84+3,84+3,83+3,82+3,83+3,83+3,83+3,82+3,81+3,77+3,77+3,77+3,81+3
Marquinhos,26,183,75,Brazil,Paris Saint-Germain,French Ligue 1,85,89,44000000,115000,"CB, CDM",Right,3,3,3,Medium/High,Normal,Yes,84700000.0,"Tackling,Tactician",RCB,5.0,,2013-07-19,2024.0,,,72.0,41.0,73.0,70.0,87.0,78.0,"Long Throw-in, Leadership",68,33,84,82,31,64,55,32,82,79,70,73,69,85,67,61,89,80,75,35,80,86,59,68,47,86,,87,87,6,6,12,10,13,63+3,63+3,63+3,66+0,66+0,66+0,66+0,66+0,68+3,68+3,68+3,70+3,75+3,75+3,75+3,70+3,80+3,83+3,83+3,83+3,80+3,82+3,84+3,84+3,84+3,82+3
S. Milinković-Savić,25,191,76,Serbia,Lazio,Italian Serie A,85,89,49000000,94000,"CM, CDM, CAM",Right,2,4,4,High/Medium,Normal,Yes,87000000.0,NoTag,RCM,21.0,,2015-08-06,2023.0,,,69.0,79.0,80.0,83.0,79.0,85.0,"Flair, Power Header, Outside Foot Shot, Technical Dribbler (AI)",64,80,86,85,74,86,78,75,85,88,66,72,64,83,63,83,85,85,88,80,79,78,79,85,56,84,,79,74,7,10,7,16,7,82+2,82+2,82+2,80+0,82+0,82+0,82+0,80+0,83+2,83+2,83+2,80+2,84+2,84+2,84+2,80+2,78+2,82+2,82+2,82+2,78+2,78+2,81+2,81+2,81+2,78+2
M. Depay,26,176,78,Netherlands,Olympique Lyonnais,French Ligue 1,85,88,48500000,115000,"CF, LW, CAM",Right,3,3,5,High/Low,Stocky,Yes,95800000.0,FKSpecialist,RS,11.0,,2017-01-20,2021.0,ST,10.0,86.0,83.0,81.0,84.0,32.0,80.0,"Leadership, Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",83,83,65,81,74,85,85,86,74,84,85,87,80,82,79,87,76,81,81,83,75,28,84,84,73,78,,31,20,8,14,6,12,10,82+3,82+3,82+3,84+0,84+0,84+0,84+0,84+0,83+3,83+3,83+3,83+3,76+3,76+3,76+3,83+3,62+3,59+3,59+3,59+3,62+3,57+3,50+3,50+3,50+3,57+3
Rodri,24,191,82,Spain,Manchester City,English Premier League,85,88,44000000,145000,"CDM, CM",Right,2,4,3,Medium/High,Normal,Yes,84700000.0,NoTag,CDM,16.0,,2019-07-04,2024.0,CDM,16.0,65.0,68.0,77.0,77.0,82.0,79.0,,63,64,75,85,59,76,65,54,82,82,66,65,68,82,69,74,69,84,79,76,76,83,75,82,46,85,,84,78,10,10,7,14,8,74+2,74+2,74+2,74+0,76+0,76+0,76+0,74+0,78+2,78+2,78+2,76+2,81+2,81+2,81+2,76+2,78+2,82+2,82+2,82+2,78+2,78+2,80+2,80+2,80+2,78+2
S. Gnabry,24,175,75,Germany,FC Bayern München,German 1. Bundesliga,85,87,47500000,100000,"RM, LM, RW",Right,3,4,4,High/Medium,PLAYER_BODY_TYPE_272,Yes,81900000.0,"Dribbler,Acrobat",RM,7.0,,2017-07-01,2023.0,RW,20.0,82.0,83.0,78.0,86.0,43.0,70.0,"Injury Prone, Flair, Long Shot Taker (AI), Speed Dribbler (AI), Technical Dribbler (AI)",79,85,42,79,83,87,74,62,74,83,90,76,86,85,88,86,65,78,69,81,63,38,85,83,68,80,,44,43,14,10,10,9,7,79+3,79+3,79+3,84+0,83+0,83+0,83+0,84+0,83+3,83+3,83+3,83+3,77+3,77+3,77+3,83+3,66+3,63+3,63+3,63+3,66+3,62+3,54+3,54+3,54+3,62+3
Luis Alberto,27,183,74,Spain,Lazio,Italian Serie A,85,86,44000000,99000,"CAM, CM, CF",Right,2,3,4,Medium/Medium,Lean,Yes,78100000.0,Playmaker,LCM,10.0,,2016-08-31,2022.0,,,74.0,76.0,86.0,85.0,58.0,59.0,"Finesse Shot, Flair, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",76,77,49,90,76,86,86,81,89,88,76,72,81,80,74,77,53,75,64,76,29,55,80,88,56,78,,68,45,6,8,6,12,11,76+2,76+2,76+2,82+0,82+0,82+0,82+0,82+0,84+2,84+2,84+2,82+2,83+2,83+2,83+2,82+2,71+2,71+2,71+2,71+2,71+2,68+2,60+2,60+2,60+2,68+2
H. Ziyech,27,181,65,Morocco,Chelsea,English Premier League,85,86,44000000,140000,"CAM, RW",Left,3,2,5,High/High,PLAYER_BODY_TYPE_250,Yes,86900000.0,"Playmaker,Crosser,CompleteMidfielder",SUB,22.0,,2020-07-01,2025.0,,,80.0,76.0,87.0,84.0,50.0,66.0,"Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",88,73,53,86,74,83,90,78,89,85,83,77,85,84,78,83,37,80,59,77,73,52,82,89,67,79,,56,40,11,7,11,8,14,77+3,77+3,77+3,83+0,82+0,82+0,82+0,83+0,84+2,84+2,84+2,84+2,82+3,82+3,82+3,84+2,70+3,70+3,70+3,70+3,70+3,66+3,57+3,57+3,57+3,66+3
M. Pjanić,30,178,72,Bosnia Herzegovina,FC Barcelona,Spain Primera Division,85,85,35500000,220000,"CM, CDM",Right,3,4,3,Medium/Medium,Normal,Yes,72800000.0,"Dribbler,Playmaker,FKSpecialist,CompleteMidfielder",RCM,8.0,,2020-08-24,2024.0,,,67.0,68.0,87.0,85.0,75.0,67.0,"Finesse Shot, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",81,56,60,90,72,86,86,92,87,89,68,66,75,84,81,78,59,81,59,82,70,78,68,88,79,86,,76,70,7,7,13,7,8,72+3,72+3,72+3,79+0,78+0,78+0,78+0,79+0,82+3,82+3,82+3,80+3,84+1,84+1,84+1,80+3,79+3,81+3,81+3,81+3,79+3,77+3,73+3,73+3,73+3,77+3
G. Wijnaldum,29,175,69,Netherlands,Liverpool,English Premier League,85,85,37000000,150000,CM,Right,3,4,4,High/High,PLAYER_BODY_TYPE_308,Yes,68500000.0,Engine,LCM,5.0,,2016-07-22,2021.0,CAM,8.0,76.0,75.0,81.0,86.0,78.0,79.0,Flair,72,75,78,88,73,85,78,73,81,88,77,76,84,86,88,78,81,93,74,73,75,79,79,79,74,86,,79,69,16,6,14,12,6,80+3,80+3,80+3,81+0,82+0,82+0,82+0,81+0,83+2,83+2,83+2,82+3,84+1,84+1,84+1,82+3,81+3,82+3,82+3,82+3,81+3,79+3,78+3,78+3,78+3,79+3
